005,0,8000,63,1.1789069175720215,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,1,8000,65,0.2646198272705078,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,2,8000,52,0.16465997695922852,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
005,3,8000,62,0.15785908699035645,{'C': 4.281332398719396, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
005,4,8000,57,0.18388986587524414,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,0,8000,54,0.15951824188232422,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,1,8000,55,0.16924166679382324,{'C': 11.288378916846883, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,2,8000,62,0.1796715259552002,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
010,3,8000,62,0.16796469688415527,{'C': 0.004832930238571752, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
010,4,8000,62,0.17760205268859863,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,0,8000,60,0.1708543300628662,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,1,8000,60,0.17185425758361816,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,2,8000,56,0.2353839874267578,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
015,3,8000,57,0.1881704330444336,{'C': 545.5594781168514, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
015,4,8000,60,0.17285895347595215,{'C': 0.23357214690901212, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,0,8000,62,0.1677415370941162,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,1,8000,60,0.1616988182067871,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,2,8000,61,0.15107345581054688,{'C': 0.012742749857031334, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
020,3,8000,63,0.15940260887145996,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
020,4,8000,62,0.16185474395751953,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,0,8000,61,0.1669011116027832,{'C': 0.615848211066026, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
030,1,8000,61,0.17594075202941895,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,2,8000,62,0.1672344207763672,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,3,8000,63,0.169114351272583,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
030,4,8000,62,0.16614675521850586,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,0,8000,61,0.15389204025268555,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
060,1,8000,62,0.15853404998779297,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,2,8000,62,0.17207098007202148,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,3,8000,62,0.17528438568115234,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
060,4,8000,60,0.17102336883544922,{'C': 0.615848211066026, 'max_iter': 10000, 'penalty': 'l1', 'solver': 'liblinear'}
100,0,8000,62,0.1629796028137207,{'C': 0.004832930238571752, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,1,8000,64,0.16945433616638184,{'C': 0.03359818286283781, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,2,8000,60,0.1624906063079834,{'C': 1.623776739188721, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'liblinear'}
100,3,8000,64,0.17299389839172363,{'C': 0.08858667904100823, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
100,4,8000,62,0.17996859550476074,{'C': 4.281332398719396, 'max_iter': 5000, 'penalty': 'l1', 'solver': 'liblinear'}
